intent	dialog
atis_ground_service	What ground transportation is available between Pittsburgh airport and downtown pittsburgh?
atis_flight	 list the flights from montreal to philly before 9 am
atis_flight	 show flights from denver to houston
atis_flight	 what are the nonstop flights from cincinnati to charlotte leaving after noon and arriving before 7 pm
atis_ground_service	What are the options for transportation between the pittsburgh airport and downtown pittsburgh?
atis_flight	 show flights from kansas city to orlando
atis_flight	 show me flights from montreal to orlando
atis_airfare	What is the fare for a second class round trip ticket from Seattle to St. Petersburg?
atis_airline	What airline is DSL?
atis_airline	What is aa?
atis_flight	 show me the cheapest one way flight from san francisco to houston
atis_ground_service	 show me ground transportation in fort worth
atis_airfare	What is the lowest fare from BWI to salt lake city?
atis_flight	 on next wednesday flight from kansas city to chicago should arrive in chicago around 7 pm return flight on thursday
atis_flight	 find a flight from memphis to tacoma dinner
atis_airfare	Show me the cheapest round trip fares from San Diego to Houston.
atis_flight	 i need a flight from san diego to washington dc
atis_flight	 i need a flight from milwaukee to indianapolis leaving monday before 9 am
atis_ground_service	Is there ground transportation available at the denver airport? If so, which one would you recommend?
atis_airfare	 i need a ticket from nashville to seattle
atis_flight	 i need a flight from phoenix to atlanta
atis_flight	 show me delta flight 486
atis_ground_service	What are the connections between New York City and LGA airport?
atis_flight	 list flights from washington dc to toronto
atis_flight	 list the flights from westchester county to cincinnati on june seventh leaving after 5 pm
atis_flight	 show me the flights from houston to orlando
atis_abbreviation	What does fare code mean?
atis_airline	What airlines fly into Denver for vacation?
atis_flight	 flight on american from miami to chicago arrive in chicago about 5 pm
atis_flight	 list the alaska airlines flights a departing from burbank
atis_flight	 i need a flight from salt lake to newark airport that arrives on saturday before 6 pm
atis_airfare	What are the fares for a 90 minute flight between Washington and Columbus?
atis_flight	 show me flights from fort worth to san jose
atis_ground_service	How do I get to DC on foot using D-Day flight?
atis_airline	Which airline is in Canada?
atis_flight	 please list all flights from new york to miami any any type of class
atis_abbreviation	What class is fare code q?
atis_airfare	List airfares for first class round trip from detroit to St. Petersburg. list prices for the same.
atis_airline	 which airline is us
atis_flight	 i would like a flight that leaves on sunday from montreal quebec to san diego california
atis_airfare	What is the airfare for a first class ticket from detroit to st. petersburg?
atis_airfare	What is the most expensive one way fare between detroit and westchester county?
atis_flight	 list flights from baltimore to san francisco on friday
atis_flight	 what is the shortest flight from milwaukee to san diego
atis_flight	 what is the latest daily flight between oakland and salt lake city
atis_flight	 yes i'd like to find a flight from memphis to tacoma stopping in los angeles
atis_flight	 what flights leave from cincinnati in the morning and arrive in tampa
atis_airfare	If I am planning to fly from Tacoma to San Jose for three days first april first, I need a ticket from Seattle to San jose departing before 7 am. As for cost it means fare and the stop will be at 8 am.
atis_abbreviation	 what is fare code f
atis_flight	 i would like to fly from san diego to seattle
atis_flight	 list all alaska airlines flights
atis_airline	I would like to have a nice airline that flies across the country including stops in San Francisco and Seattle. Is there an airline that flies in St. Louis as well?
atis_airline	 what airline is dl
atis_ground_service	Is there ground transportation available at The Phoenix airport?
atis_flight	 what flights travel from las vegas to los angeles
atis_airfare	How much are coach flights from pittsburgh to atlanta?
atis_airline	What are the airlines that fly from Salt Lake City to seattle?
atis_flight	 give me the flights from memphis to las vegas nonstop
atis_airfare	What are the best fares from canada to washington, DC from the city?
atis_abbreviation	 what is phl
atis_abbreviation	What is a Fare Code?
atis_flight	 list flights from san jose to dallas on friday
atis_flight	 i would like a flight from san diego to las vegas
atis_flight	 which flights travel from tacoma to san jose
atis_abbreviation	 what does fare code qo mean
atis_flight	 i would like flights from las vegas to san francisco
atis_airfare	What is the cheapest roundtrip fare from Chicago to Orlando in December?
atis_airfare	Which flights will be charged for a single day in September from Ottawa?
atis_flight	 give me the flights from chicago to seattle saturday morning that have meals
atis_airline	What is the airline?
atis_flight	 list flights from houston to phoenix
atis_airfare	What is the lowest fare to fly from Washington DC to Boston?
atis_airfare	Can anybody say here a fare of 200 dollars to Cleveland from pittsburgh?
atis_airline	Which airline is important in aviation?
atis_ground_service	 i'll need to rent a car in washington dc
atis_airfare	 get saturday fares from washington to montreal
atis_flight	 show me all round trip flights from miami to new york nonstop
atis_abbreviation	What does the abbreviation us stand for?
atis_airfare	Show me round trip fares from toronto to detroit on delta northwest us air and united airlines.
atis_abbreviation	 what does the restriction ap58 mean
atis_flight	 give me the flights from new york city to nashville leaving after 5 pm on wednesday
atis_airfare	How much is the first class airfare from Detroit to St. Petersburg for a round trip?
atis_airfare	How much should I spend at a two-way hotel in Chicago for an economy class ticket. Can I afford to spend it from there?
atis_airfare	Bus route list fares from Washington DC to Montreal.
atis_airfare	cheapest fare round trip from indianapolis to orlando on december twenty seven. cheapest fare round trip, orlando on december twenty seventh.
atis_flight	 list the flights from westchester county to denver on june seventh
atis_flight	 please list flights from st. louis to st. paul which depart after 10 am thursday morning
atis_flight	 i need flight information from milwaukee to tampa
atis_ground_service	 is there ground transportation from lga into new york city
atis_flight	 can i have a morning flight from baltimore to newark please
atis_flight	 please give me the flights from chicago to kansas city on june seventeenth
atis_flight	 which flights leave chicago on april twelfth and arrive in indianapolis in the morning
atis_flight	 show me the nonstop flights from toronto to st. petersburg
atis_abbreviation	What is fare code in India?
atis_flight	 which flights depart from philadelphia and arrive in atlanta
atis_airfare	Show me round trip fares from Toronto to Detroit on delta northwest us air and united airlines.
atis_airfare	From Washington to Boston, get fares from nyc to london and other locations.
atis_airfare	Where can I get cheapest flight ticket from Dallas to Los Angeles from LV to Detroit?
atis_flight	 please find a flight from orlando to kansas city
atis_flight	 please find all the flights from cincinnati to any airport in the new york city area that arrive next saturday before 6 pm
atis_abbreviation	 what does fare code bh mean
atis_airline	What airline is HP?
atis_abbreviation	What does fare code bh mean?
atis_flight	 list the flights from denver to cincinnati on june eighth
atis_flight	 list flights from minneapolis to pittsburgh on friday
atis_flight	 please list the flights from cincinnati to burbank on american airlines
atis_flight	 what flights go from dallas to phoenix
atis_ground_service	is there ground transportation from the memphis airport into town when i arrive at 842 in the morning?
atis_flight	 list flights from oakland to salt lake city leaving after 1700 wednesday
atis_flight	 give me a combination of continental flights from chicago to seattle that have meals early saturday morning
atis_flight	 which flights leave detroit and arrive at st. petersburg around 9 am
atis_abbreviation	What is the MCI (MNCI)?
atis_airline	What airlines fly between Columbus, Hawai’i and Washington DC?
atis_flight	 list the tower air flights on mondays
atis_flight	 what flights depart from baltimore
atis_airfare	 get fares from washington to montreal
atis_flight	 what is the earliest arriving flight between boston and washington dc
atis_airline	 what airline is as as in sam
atis_abbreviation	What does a fare code mean?
atis_abbreviation	What does fare code actually mean?
atis_airfare	What is the first class round trip airfare from India indianapolis to Memphis, Tennessee?
atis_airfare	What are the cheapest route ticket fares from Houston to Boston?
atis_abbreviation	What does US A mean?
atis_flight	 give me the flights from phoenix to milwaukee on wednesday evening
atis_airfare	What are the low fares between Washington DC and Salt Lake City?
atis_flight	 which flights are leaving from kansas city to atlanta early monday morning
atis_airline	I want a flight between San Francisco and Detroit from Houston to Detroit. I am looking for flights between San Francisco and Detroit. can u tell me some details about a flight between Dallas and Detroit?
atis_airline	What airlines fly between Toronto and San Diego?
atis_flight	 the flights from ontario to westchester that stop in chicago
atis_flight	 give me the flights from new york to las vegas nonstop
atis_flight	 please give me the flights from nashville to houston nonstop with dinner served
atis_ground_service	 what's the ground transportation in denver
atis_airline	Which airlines fly to Salt Lake City from Seattle?
atis_flight	 i want to fly from memphis to seattle round trip with the cheapest fare
atis_airfare	What is the lowest fare from Toronto to Washington DC?
atis_ground_service	Is there ground transportation available at the Salt Lake City airport?
atis_flight	 list flights from dallas to houston
atis_airfare	What's the cheapest one-way fare from Indianapolis to Orlando on December twenty seven?
atis_flight	 list flights from tampa to cincinnati after 3 pm
atis_flight	 how many flights does alaska airlines have to burbank
atis_flight	 kansas city to las vegas economy
atis_flight	 what's the earliest arriving flight between boston and washington dc
atis_flight	 i need flight information for flights departing from cleveland going back to milwaukee wednesday after 5 pm
atis_flight	 what are the nonstop flights between houston and memphis
atis_abbreviation	What does not SA mean?
atis_airline	Which airline is usa?
atis_flight	 which flights on northwest airline leave detroit and arrive at st. petersburg
atis_ground_service	 what ground transportation is available between pittsburgh airport and downtown pittsburgh
atis_flight	 new york to las vegas sunday afternoon
atis_ground_service	List of ground transportation in st. Helena, gulf coast, and surrounding areas.
atis_ground_service	I need to rent a car in washington dc. it is cheaper than renting a car in San Diego, so when to drive?
atis_flight	 show me round trip flights from montreal to orlando
atis_airline	Which airlines fly from San Mateo to Fort Myers?
atis_flight	 list all tower air flights with meals
atis_flight	 how about a flight leaving tuesday night from st. louis to burbank
atis_abbreviation	What does “M” mean?
atis_flight	 please list the flights from los angeles to charlotte
atis_flight	 new york city to las vegas and memphis to las vegas on sunday
atis_airline	 what airline is hp
atis_flight	 which flights travel from kansas city to los angeles
atis_abbreviation	What does fare code mean?
atis_flight	 show me weekday flights from milwaukee to orlando one way
atis_flight	 give me the saturday morning flights from chicago to st. paul on continental that have meals
atis_flight	 show me one way flights from indianapolis to memphis before 10 am on any day
atis_flight	 on wednesday night i would like a flight from charlotte to newark
atis_flight	 list flights from chicago to san diego
atis_flight	 list all flights from cleveland to nashville
atis_airline	Which airline is usa?
atis_airline	What is a general aviation airline and what are its operations?
atis_flight	 and from milwaukee to atlanta before 10 am daily
atis_flight	 list the flights from pittsburgh to baltimore arriving on july first
atis_flight	 what is the earliest arriving flight from houston to orlando
atis_flight	 los angeles to pittsburgh afternoon tuesday
atis_flight	 please find a flight from miami florida to las vegas nevada arriving before 4 o'clock pm
atis_airfare	What are the fares of all flights from Washington to Cincinnati?
atis_flight	 list flights from salt lake city utah to phoenix arizona monday
atis_abbreviation	What are the restrictions of P.R.A. 57?
atis_flight	 columbus to chicago one way before 10 am
atis_abbreviation	What do we stand for with the abbreviation us?
atis_airline	Which airline is as follows?
atis_flight	 find american flight from newark to nashville around 630 pm
atis_airfare	How does it cover the price of a hotel for a week from Las Vegas to Detroit?
atis_flight	 what flights go from phoenix to salt lake city
atis_flight	 i would like to leave this afternoon on an american flight from cincinnati to burbank
atis_airfare	What is the cheapest fare of a flight from Washington DC to Boston?
atis_airfare	What is the most expensive one way fare between detroit and westchester county, Michigan?
atis_flight	 list flights from milwaukee to san jose on wednesday
atis_airfare	 cheapest round trip fare from or indianapolis to orlando on december twenty fifth
atis_abbreviation	What is fare code q?
atis_airline	What airline is HP?
atis_airline	 what airline is us
atis_airfare	Show me the cheapest one way fare from san francisco to Houston on february twenty eighth 1994 1994?
atis_flight	 i would like flights from ontario to tacoma
atis_flight	 indianapolis to orlando december twenty seventh
atis_flight	 list flights from chicago to kansas city in the morning
atis_flight	 next wednesday i would like to leave kansas city on a trip to chicago which arrives in chicago around 7 pm
atis_flight	 list flights from houston to denver
atis_flight	 find me a flight that flies from memphis to tacoma
atis_ground_service	What is the ground transportation between the charlotte airport charlotte airport and downtown charlotte?
atis_ground_service	What is the best way to get from LA guardia airport to New York?
atis_airfare	What are the fares for flights between Washington D.C. and Columbus?
atis_flight	 i need a flight from memphis to las vegas
atis_flight	 las vegas to baltimore economy
atis_flight	 list flights from newark to houston
atis_airline	Which airline is the United States?
atis_flight	 give me the flights from los angeles to pittsburgh on tuesday
atis_ground_service	What is the best way to get a ride to the airport from nashville?
atis_flight	 i need a flight from toronto to st. louis
atis_ground_service	Show me ground transportation in Fort Worth, TX.
atis_airline	What airlines fly to San Diego on short plane journeys from Toronto?
atis_airfare	get the Friday fare from washington to toronto from $319 to $492.75. get the Saturday fare from toronto to new York for just $2.45. Get the Saturday fare on a saturday fly.
atis_ground_service	 is there ground transportation from the memphis airport into town when if i arrive at 842 in the morning
atis_airline	Which airline is Dlc/DHL?
atis_ground_service	What is the best subway service to New York from La Guardia airport?
atis_flight	 i would like a flight on friday morning from toronto to montreal
atis_flight	 what are the flights between cincinnati and san jose california which leave after 6 pm
atis_flight	 i would like flight information from phoenix to denver
atis_flight	 list flights from ontario california to salt lake city utah
atis_airline	What airline is us?
atis_flight	 what are the flights on sunday from montreal quebec to san diego california
atis_airfare	cheapest flight to boston from washington DC (day)?
atis_flight	 which flights depart from tampa and arrive in cincinnati in the evening
atis_flight	 please find a flight from st. petersburg to miami on thursday
atis_flight	 what's the cheapest round trip flight on twa from columbus to st. paul
atis_flight	 i need information on flights from toronto to san diego
atis_abbreviation	What are rules under ABP 57?
atis_abbreviation	 what is tpa
atis_flight	 i would like to fly from atlanta to san diego
atis_airline	What are the different airlines that fly from Toronto to San Francisco?
atis_airfare	 list fares from washington dc to boston
atis_airfare	 i need a ticket from nashville tennessee to seattle
atis_airfare	How much does it cost to fly from columbus to saint louis round trip?
atis_flight	 kansas city to atlanta monday morning flights
